  cell  ,E,W,N,S
"(34, 3)",1,1,0,1
"(35, 3)",1,0,1,0
"(1, 4)",1,1,0,0
"(2, 4)",0,0,0,1
"(3, 4)",1,0,1,0
"(4, 4)",1,1,0,0
"(5, 4)",1,0,0,0
"(6, 4)",1,0,0,1
"(7, 4)",0,0,1,1
"(8, 4)",1,1,1,0
"(9, 4)",1,0,0,1
"(10, 4)",0,0,1,1
"(11, 4)",1,0,1,1
"(12, 4)",1,0,1,1
"(13, 4)",1,1,1,1
"(14, 4)",0,0,1,1
"(15, 4)",1,0,1,1
"(16, 4)",1,0,1,0
"(17, 4)",1,1,0,0
"(18, 4)",1,1,0,1
"(19, 4)",0,1,1,0
"(20, 4)",1,1,0,1
"(21, 4)",0,0,1,1
"(22, 4)",1,0,1,0
"(23, 4)",1,0,0,1
"(24, 4)",0,0,1,1
"(25, 4)",0,0,1,1
"(26, 4)",1,1,1,1
"(27, 4)",0,0,1,0
"(28, 4)",1,0,0,1
"(29, 4)",1,1,1,0
"(30, 4)",0,0,0,1
"(31, 4)",1,0,1,0
"(32, 4)",1,1,0,1
"(33, 4)",0,1,1,0
"(34, 4)",1,1,0,0
"(35, 4)",1,1,0,0
"(1, 5)",0,1,0,1
"(2, 5)",1,0,1,0
"(3, 5)",0,1,0,1
"(4, 5)",0,1,1,1
"(5, 5)",0,1,1,1
"(6, 5)",0,1,1,1
"(7, 5)",1,0,1,0
"(8, 5)",1,1,0,1
"(9, 5)",0,1,1,1
"(10, 5)",1,0,1,1
"(11, 5)",1,1,1,0
"(12, 5)",1,1,0,0
"(13, 5)",1,1,0,0
"(14, 5)",1,0,0,1
"(15, 5)",1,1,1,0
"(16, 5)",1,1,0,0
"(17, 5)",1,1,0,1
"(18, 5)",0,1,1,1
"(19, 5)",0,0,1,1
"(20, 5)",0,1,1,1
"(21, 5)",0,0,1,0
"(22, 5)",1,1,0,0
"(23, 5)",1,1,0,1
"(24, 5)",0,0,1,1
"(25, 5)",0,0,1,1
"(26, 5)",1,1,1,0
"(27, 5)",1,0,0,1
"(28, 5)",0,1,1,0
"(29, 5)",1,1,0,1
"(30, 5)",0,0,1,1
"(31, 5)",0,1,1,1
"(32, 5)",1,1,1,0
"(33, 5)",0,0,0,1
"(34, 5)",1,1,1,1
"(35, 5)",1,1,1,0
"(1, 6)",1,0,0,1
"(2, 6)",0,1,1,1
"(3, 6)",1,0,1,1
"(4, 6)",1,0,1,1
"(5, 6)",1,0,1,1
"(6, 6)",1,0,1,0
"(7, 6)",1,1,0,1
"(8, 6)",0,1,1,1
"(9, 6)",1,0,1,1
"(10, 6)",1,1,1,0
"(11, 6)",0,1,0,0
"(12, 6)",1,1,0,0
"(13, 6)",1,1,0,1
"(14, 6)",0,1,1,0
"(15, 6)",0,1,0,1
"(16, 6)",0,1,1,0
"(17, 6)",1,1,0,1
"(18, 6)",0,0,1,1
"(19, 6)",1,0,1,0
"(20, 6)",1,0,0,1
"(21, 6)",0,0,1,1
"(22, 6)",0,1,1,0
"(23, 6)",1,1,0,0
"(24, 6)",0,0,0,1
"(25, 6)",0,0,1,1
"(26, 6)",0,1,1,0
"(27, 6)",0,1,0,1
"(28, 6)",1,0,1,0
"(29, 6)",1,1,0,1
"(30, 6)",1,0,1,1
"(31, 6)",0,0,1,0
"(32, 6)",1,1,0,1
"(33, 6)",1,0,1,0
"(34, 6)",0,1,0,0
"(35, 6)",1,1,0,0
"(1, 7)",1,1,0,1
"(2, 7)",1,0,1,0
"(3, 7)",1,1,0,0
"(4, 7)",1,1,0,0
"(5, 7)",1,1,0,0
"(6, 7)",1,1,0,1
"(7, 7)",1,1,1,0
"(8, 7)",1,0,0,1
"(9, 7)",0,1,1,0
"(10, 7)",1,1,0,1
"(11, 7)",1,0,1,0
"(12, 7)",1,1,0,0
"(13, 7)",1,1,0,0
"(14, 7)",1,0,0,1
"(15, 7)",0,0,1,1
"(16, 7)",0,0,1,1
"(17, 7)",0,1,1,0
"(18, 7)",0,0,0,1
"(19, 7)",1,1,1,1
"(20, 7)",0,1,1,0
"(21, 7)",1,0,0,1
"(22, 7)",1,0,1,0
"(23, 7)",1,1,0,1
"(24, 7)",0,0,1,1
"(25, 7)",0,0,1,1
"(26, 7)",1,0,1,1
"(27, 7)",1,0,1,0
"(28, 7)",0,1,0,1
"(29, 7)",1,1,1,0
"(30, 7)",1,1,0,1
"(31, 7)",0,0,1,1
"(32, 7)",1,1,1,0
"(33, 7)",1,1,0,1
"(34, 7)",0,0,1,1
"(35, 7)",1,1,1,0
"(1, 8)",1,1,0,0
"(2, 8)",1,1,0,0
"(3, 8)",1,1,0,0
"(4, 8)",0,1,0,0
"(5, 8)",1,1,0,0
"(6, 8)",1,1,0,0
"(7, 8)",1,1,0,1
"(8, 8)",0,1,1,1
"(9, 8)",1,0,1,1
"(10, 8)",1,1,1,0
"(11, 8)",0,1,0,1
"(12, 8)",0,1,1,1
"(13, 8)",0,1,1,1
"(14, 8)",1,1,1,0
"(15, 8)",1,0,0,1
"(16, 8)",0,0,1,1
"(17, 8)",1,0,1,1
"(18, 8)",1,0,1,1
"(19, 8)",1,1,1,0
"(20, 8)",1,0,0,1
"(21, 8)",1,1,1,0
"(22, 8)",0,1,0,1
"(23, 8)",0,1,1,1
"(24, 8)",0,0,1,1
"(25, 8)",0,0,1,1
"(26, 8)",0,1,1,0
"(27, 8)",1,1,0,0
"(28, 8)",1,0,0,1
"(29, 8)",1,1,1,1
"(30, 8)",1,1,1,0
"(31, 8)",1,0,0,1
"(32, 8)",1,1,1,0
"(33, 8)",1,1,0,1
"(34, 8)",1,0,1,1
"(35, 8)",1,1,1,0
"(1, 9)",1,1,0,1
"(2, 9)",1,1,1,0
"(3, 9)",0,1,0,1
"(4, 9)",1,0,1,1
"(5, 9)",0,1,1,1
"(6, 9)",0,1,1,1
"(7, 9)",0,1,1,1
"(8, 9)",1,0,1,1
"(9, 9)",1,1,1,0
"(10, 9)",0,1,0,1
"(11, 9)",1,0,1,1
"(12, 9)",0,0,1,1
"(13, 9)",1,0,1,1
"(14, 9)",1,1,1,1
"(15, 9)",0,1,1,0
"(16, 9)",1,0,0,1
"(17, 9)",1,1,1,0
"(18, 9)",0,1,0,0
"(19, 9)",1,1,0,1
"(20, 9)",1,1,1,0
"(21, 9)",1,1,0,0
"(22, 9)",1,0,0,1
"(23, 9)",1,0,1,0
"(24, 9)",1,0,0,1
"(25, 9)",1,0,1,0
"(26, 9)",1,0,0,1
"(27, 9)",0,1,1,0
"(28, 9)",0,1,0,0
"(29, 9)",1,1,0,0
"(30, 9)",0,1,0,1
"(31, 9)",0,1,1,0
"(32, 9)",1,1,0,0
"(33, 9)",1,1,0,0
"(34, 9)",1,1,0,0
"(35, 9)",1,1,0,0
"(1, 10)",1,1,0,0
"(2, 10)",0,1,0,1
"(3, 10)",1,0,1,1
"(4, 10)",0,1,1,1
"(5, 10)",1,0,1,1
"(6, 10)",1,0,1,1
"(7, 10)",0,0,1,1
"(8, 10)",0,1,1,0
"(9, 10)",0,1,0,1
"(10, 10)",1,0,1,1
"(11, 10)",0,1,1,0
"(12, 10)",1,0,0,1
"(13, 10)",1,1,1,0
"(14, 10)",1,1,0,1
"(15, 10)",1,0,1,0
"(16, 10)",1,1,0,0
"(17, 10)",1,1,0,0
"(18, 10)",1,0,0,1
"(19, 10)",0,1,1,0
"(20, 10)",0,1,0,1
"(21, 10)",1,1,1,1
"(22, 10)",0,1,1,0
"(23, 10)",0,1,0,1
"(24, 10)",0,1,1,0
"(25, 10)",1,1,0,1
"(26, 10)",0,1,1,1
"(27, 10)",1,0,1,1
"(28, 10)",1,0,1,1
"(29, 10)",0,1,1,1
"(30, 10)",1,0,1,1
"(31, 10)",0,0,1,0
"(32, 10)",0,1,0,1
"(33, 10)",0,1,1,0
"(34, 10)",1,1,0,0
"(35, 10)",1,1,0,0
"(1, 11)",1,1,0,1
"(2, 11)",0,0,1,1
"(3, 11)",0,1,1,1
"(4, 11)",1,0,1,0
"(5, 11)",1,1,0,0
"(6, 11)",0,1,0,1
"(7, 11)",1,0,1,1
"(8, 11)",0,0,1,1
"(9, 11)",1,0,1,1
"(10, 11)",0,1,1,1
"(11, 11)",0,0,1,0
"(12, 11)",1,1,0,0
"(13, 11)",0,1,0,1
"(14, 11)",1,1,1,0
"(15, 11)",0,1,0,1
"(16, 11)",1,1,1,1
"(17, 11)",0,1,1,1
"(18, 11)",1,1,1,0
"(19, 11)",0,0,0,1
"(20, 11)",1,0,1,1
"(21, 11)",0,1,1,1
"(22, 11)",1,0,1,1
"(23, 11)",0,0,1,1
"(24, 11)",0,0,1,1
"(25, 11)",1,1,1,0
"(26, 11)",1,0,0,0
"(27, 11)",1,1,0,0
"(28, 11)",1,1,0,1
"(29, 11)",1,0,1,0
"(30, 11)",1,1,0,1
"(31, 11)",0,0,1,1
"(32, 11)",1,0,1,1
"(33, 11)",0,0,1,0
"(34, 11)",1,1,0,1
"(35, 11)",1,1,1,0
"(1, 12)",1,1,0,1
"(2, 12)",1,0,1,0
"(3, 12)",1,0,0,0
"(4, 12)",1,1,0,1
"(5, 12)",1,1,1,1
"(6, 12)",0,0,1,1
"(7, 12)",1,1,1,0
"(8, 12)",1,0,0,1
"(9, 12)",0,1,1,0
"(10, 12)",1,0,0,1
"(11, 12)",1,0,1,0
"(12, 12)",0,1,0,1
"(13, 12)",1,0,1,1
"(14, 12)",0,1,1,1
"(15, 12)",1,0,1,0
"(16, 12)",0,1,0,1
"(17, 12)",1,0,1,0
"(18, 12)",1,1,0,1
"(19, 12)",0,0,1,1
"(20, 12)",1,1,1,0
"(21, 12)",1,0,0,1
"(22, 12)",1,1,1,1
"(23, 12)",0,0,1,1
"(24, 12)",0,0,1,1
"(25, 12)",1,1,1,1
"(26, 12)",1,1,1,1
"(27, 12)",0,1,1,0
"(28, 12)",0,1,0,0
"(29, 12)",0,1,0,1
"(30, 12)",1,1,1,0
"(31, 12)",1,0,0,1
"(32, 12)",1,1,1,1
"(33, 12)",1,0,1,1
"(34, 12)",0,1,1,0
"(35, 12)",1,1,0,0
"(1, 13)",1,1,0,0
"(2, 13)",1,1,0,1
"(3, 13)",0,1,1,1
"(4, 13)",1,1,1,0
"(5, 13)",1,1,0,1
"(6, 13)",0,0,1,1
"(7, 13)",0,1,1,0
"(8, 13)",1,1,0,1
"(9, 13)",0,0,1,1
"(10, 13)",0,1,1,0
"(11, 13)",1,1,0,1
"(12, 13)",0,0,1,1
"(13, 13)",0,1,1,0
"(14, 13)",1,0,0,0
"(15, 13)",1,1,0,0
"(16, 13)",1,0,0,1
"(17, 13)",0,1,1,0
"(18, 13)",0,1,0,1
"(19, 13)",1,0,1,1
"(20, 13)",1,1,1,1
"(21, 13)",1,1,1,0
"(22, 13)",1,1,0,1
"(23, 13)",1,0,1,0
"(24, 13)",0,0,0,1
"(25, 13)",0,1,1,0
"(26, 13)",0,1,0,1
"(27, 13)",0,0,1,1
"(28, 13)",0,0,1,1
"(29, 13)",1,0,1,1
"(30, 13)",0,1,1,1
"(31, 13)",1,1,1,0
"(32, 13)",1,1,0,0
"(33, 13)",0,1,0,1
"(34, 13)",1,0,1,0
"(35, 13)",1,1,0,0
"(1, 14)",1,1,0,1
"(2, 14)",0,1,1,1
"(3, 14)",0,0,1,0
"(4, 14)",1,1,0,0
"(5, 14)",1,1,0,0
"(6, 14)",1,0,0,1
"(7, 14)",0,0,1,1
"(8, 14)",1,1,1,1
"(9, 14)",0,0,1,1
"(10, 14)",1,0,1,1
"(11, 14)",0,1,1,0
"(12, 14)",1,0,0,1
"(13, 14)",0,0,1,1
"(14, 14)",1,1,1,0
"(15, 14)",1,1,0,0
"(16, 14)",1,1,0,1
"(17, 14)",0,0,1,1
"(18, 14)",0,0,1,1
"(19, 14)",1,1,1,0
"(20, 14)",0,1,0,0
"(21, 14)",1,1,0,0
"(22, 14)",1,1,0,0
"(23, 14)",1,1,0,0
"(24, 14)",1,0,0,1
"(25, 14)",0,0,1,1
"(26, 14)",0,0,1,1
"(27, 14)",1,0,1,1
"(28, 14)",0,0,1,1
"(29, 14)",1,1,1,0
"(30, 14)",1,0,0,1
"(31, 14)",1,1,1,0
"(32, 14)",0,1,0,1
"(33, 14)",0,0,1,0
"(34, 14)",1,1,0,0
"(35, 14)",1,1,0,0
"(1, 15)",1,1,0,0
"(2, 15)",1,0,0,1
"(3, 15)",0,0,1,1
"(4, 15)",1,1,1,1
"(5, 15)",0,1,1,1
"(6, 15)",1,1,1,0
"(7, 15)",1,0,0,0
"(8, 15)",0,1,0,1
"(9, 15)",1,0,1,0
"(10, 15)",1,1,0,1
"(11, 15)",0,0,1,1
"(12, 15)",1,1,1,0
"(13, 15)",1,0,0,1
"(14, 15)",0,1,1,1
"(15, 15)",0,1,1,0
"(16, 15)",0,1,0,1
"(17, 15)",1,0,1,0
"(18, 15)",1,0,0,0
"(19, 15)",0,1,0,1
"(20, 15)",1,0,1,0
"(21, 15)",1,1,0,0
"(22, 15)",1,1,0,0
"(23, 15)",1,1,0,0
"(24, 15)",0,1,0,1
"(25, 15)",1,0,1,0
"(26, 15)",1,0,0,0
"(27, 15)",0,1,0,1
"(28, 15)",0,0,1,1
"(29, 15)",1,1,1,0
"(30, 15)",1,1,0,0
"(31, 15)",1,1,0,1
"(32, 15)",0,0,1,1
"(33, 15)",1,0,1,0
"(34, 15)",1,1,0,1
"(35, 15)",1,1,1,0
"(1, 16)",1,1,0,1
"(2, 16)",0,1,1,1
"(3, 16)",1,0,1,0
"(4, 16)",1,1,0,1
"(5, 16)",1,0,1,0
"(6, 16)",0,1,0,1
"(7, 16)",0,1,1,1
"(8, 16)",0,0,1,1
"(9, 16)",1,1,1,0
"(10, 16)",1,1,0,0
"(11, 16)",0,0,0,1
"(12, 16)",0,1,1,1
"(13, 16)",0,1,1,1
"(14, 16)",0,0,1,1
"(15, 16)",1,0,1,1
"(16, 16)",1,0,1,1
"(17, 16)",0,1,1,1
"(18, 16)",1,1,1,0
"(19, 16)",1,0,0,0
"(20, 16)",1,1,0,1
"(21, 16)",0,1,1,1
"(22, 16)",1,1,1,0
"(23, 16)",0,1,0,1
"(24, 16)",0,0,1,1
"(25, 16)",0,1,1,1
"(26, 16)",0,1,1,1
"(27, 16)",0,0,1,1
"(28, 16)",1,0,1,0
"(29, 16)",1,1,0,1
"(30, 16)",0,1,1,0
"(31, 16)",1,1,0,1
"(32, 16)",1,0,1,0
"(33, 16)",1,1,0,1
"(34, 16)",1,1,1,0
"(35, 16)",1,1,0,0
"(1, 17)",1,1,0,0
"(2, 17)",1,0,0,1
"(3, 17)",1,1,1,0
"(4, 17)",1,1,0,0
"(5, 17)",0,1,0,1
"(6, 17)",0,0,1,1
"(7, 17)",1,0,1,0
"(8, 17)",1,0,0,1
"(9, 17)",1,1,1,0
"(10, 17)",1,1,0,1
"(11, 17)",0,0,1,1
"(12, 17)",0,0,1,1
"(13, 17)",0,0,1,1
"(14, 17)",0,0,1,1
"(15, 17)",0,1,1,0
"(16, 17)",0,1,0,1
"(17, 17)",1,0,1,0
"(18, 17)",1,1,0,1
"(19, 17)",1,1,1,0
"(20, 17)",1,1,0,0
"(21, 17)",1,0,0,1
"(22, 17)",0,1,1,0
"(23, 17)",1,0,0,1
"(24, 17)",1,0,1,0
"(25, 17)",0,0,0,1
"(26, 17)",0,0,1,1
"(27, 17)",0,0,1,1
"(28, 17)",1,1,1,0
"(29, 17)",1,1,0,0
"(30, 17)",1,0,0,1
"(31, 17)",0,1,1,0
"(32, 17)",0,1,0,1
"(33, 17)",1,1,1,0
"(34, 17)",1,1,0,1
"(35, 17)",0,1,1,0
"(1, 18)",0,1,0,1
"(2, 18)",1,1,1,0
"(3, 18)",0,1,0,0
"(4, 18)",1,1,0,0
"(5, 18)",1,0,0,1
"(6, 18)",1,0,1,1
"(7, 18)",0,1,1,1
"(8, 18)",1,1,1,0
"(9, 18)",1,1,0,0
"(10, 18)",1,1,0,1
"(11, 18)",0,0,1,1
"(12, 18)",1,0,1,1
"(13, 18)",1,0,1,1
"(14, 18)",0,0,1,1
"(15, 18)",1,0,1,0
"(16, 18)",1,0,0,1
"(17, 18)",0,1,1,0
"(18, 18)",1,1,0,0
"(19, 18)",1,1,0,1
"(20, 18)",0,1,1,0
"(21, 18)",1,1,0,1
"(22, 18)",1,0,1,1
"(23, 18)",1,1,1,0
"(24, 18)",1,1,0,1
"(25, 18)",0,0,1,1
"(26, 18)",0,0,1,1
"(27, 18)",1,0,1,0
"(28, 18)",1,1,0,1
"(29, 18)",0,1,1,0
"(30, 18)",0,1,0,1
"(31, 18)",1,0,1,0
"(32, 18)",1,0,0,0
"(33, 18)",1,1,0,1
"(34, 18)",1,1,1,0
"(35, 18)",1,0,0,0
"(1, 19)",1,0,0,0
"(2, 19)",1,1,0,1
"(3, 19)",1,0,1,1
"(4, 19)",0,1,1,0
"(5, 19)",1,1,0,0
"(6, 19)",1,1,0,1
"(7, 19)",0,0,1,1
"(8, 19)",0,1,1,0
"(9, 19)",1,1,0,0
"(10, 19)",1,1,0,1
"(11, 19)",0,0,1,1
"(12, 19)",1,1,1,0
"(13, 19)",0,1,0,1
"(14, 19)",1,0,1,0
"(15, 19)",1,1,0,0
"(16, 19)",0,1,0,1
"(17, 19)",1,0,1,0
"(18, 19)",1,1,0,0
"(19, 19)",1,1,0,0
"(20, 19)",1,0,0,1
"(21, 19)",1,1,1,0
"(22, 19)",0,1,0,0
"(23, 19)",1,1,0,1
"(24, 19)",1,1,1,0
"(25, 19)",1,0,0,1
"(26, 19)",1,0,1,0
"(27, 19)",0,1,0,1
"(28, 19)",1,1,1,0
"(29, 19)",1,0,0,1
"(30, 19)",1,0,1,0
"(31, 19)",0,1,0,1
"(32, 19)",0,1,1,1
"(33, 19)",1,1,1,0
"(34, 19)",0,1,0,1
"(35, 19)",1,1,1,0
"(1, 20)",1,1,0,1
"(2, 20)",1,1,1,0
"(3, 20)",0,1,0,1
"(4, 20)",1,0,1,0
"(5, 20)",0,1,0,1
"(6, 20)",0,1,1,1
"(7, 20)",1,0,1,1
"(8, 20)",0,0,1,1
"(9, 20)",0,1,1,0
"(10, 20)",0,1,0,1
"(11, 20)",0,0,1,1
"(12, 20)",1,1,1,1
"(13, 20)",1,0,1,1
"(14, 20)",0,1,1,0
"(15, 20)",1,1,0,0
"(16, 20)",1,0,0,1
"(17, 20)",0,1,1,1
"(18, 20)",1,1,1,0
"(19, 20)",0,1,0,1
"(20, 20)",0,1,1,0
"(21, 20)",0,1,0,1
"(22, 20)",0,0,1,1
"(23, 20)",0,1,1,0
"(24, 20)",0,1,0,1
"(25, 20)",0,1,1,0
"(26, 20)",0,1,0,1
"(27, 20)",1,0,1,0
"(28, 20)",1,1,0,1
"(29, 20)",0,1,1,0
"(30, 20)",0,1,0,1
"(31, 20)",0,0,1,1
"(32, 20)",0,0,1,1
"(33, 20)",1,1,1,0
"(34, 20)",1,0,0,1
"(35, 20)",0,1,1,0
"(1, 21)",1,1,0,0
"(2, 21)",0,1,0,1
"(3, 21)",1,0,1,0
"(4, 21)",1,1,0,0
"(5, 21)",0,0,0,1
"(6, 21)",1,0,1,1
"(7, 21)",0,1,1,1
"(8, 21)",1,0,1,0
"(9, 21)",0,0,0,1
"(10, 21)",0,0,1,1
"(11, 21)",0,0,1,1
"(12, 21)",0,1,1,0
"(13, 21)",1,1,0,1
"(14, 21)",1,0,1,1
"(15, 21)",0,1,1,1
"(16, 21)",0,1,1,0
"(17, 21)",1,0,0,0
"(18, 21)",1,1,0,1
"(19, 21)",0,0,1,1
"(20, 21)",1,0,1,1
"(21, 21)",1,0,1,1
"(22, 21)",0,0,1,1
"(23, 21)",1,0,1,0
"(24, 21)",1,0,0,1
"(25, 21)",1,0,1,1
"(26, 21)",0,0,1,1
"(27, 21)",1,1,1,1
"(28, 21)",1,1,1,1
"(29, 21)",0,0,1,1
"(30, 21)",1,0,1,1
"(31, 21)",0,0,1,1
"(32, 21)",0,0,1,1
"(33, 21)",1,1,1,0
"(34, 21)",0,1,0,1
"(35, 21)",1,0,1,0
"(1, 22)",1,1,0,0
"(2, 22)",1,0,0,1
"(3, 22)",0,1,1,1
"(4, 22)",0,1,1,1
"(5, 22)",1,0,1,0
"(6, 22)",1,1,0,1
"(7, 22)",1,0,1,0
"(8, 22)",0,1,0,1
"(9, 22)",0,0,1,1
"(10, 22)",0,0,1,1
"(11, 22)",1,0,1,0
"(12, 22)",1,0,0,1
"(13, 22)",1,1,1,0
"(14, 22)",1,1,0,0
"(15, 22)",1,0,0,1
"(16, 22)",0,0,1,1
"(17, 22)",0,1,1,1
"(18, 22)",1,1,1,1
"(19, 22)",0,0,1,1
"(20, 22)",1,1,1,0
"(21, 22)",0,1,0,1
"(22, 22)",0,0,1,0
"(23, 22)",1,1,0,1
"(24, 22)",0,1,1,0
"(25, 22)",0,1,0,1
"(26, 22)",1,0,1,1
"(27, 22)",1,1,1,0
"(28, 22)",0,1,0,0
"(29, 22)",1,0,0,1
"(30, 22)",1,1,1,0
"(31, 22)",1,0,0,1
"(32, 22)",0,0,1,1
"(33, 22)",0,1,1,1
"(34, 22)",1,0,1,1
"(35, 22)",1,1,1,0
"(1, 23)",0,1,0,1
"(2, 23)",1,1,1,1
"(3, 23)",1,0,1,1
"(4, 23)",0,0,1,1
"(5, 23)",0,1,1,1
"(6, 23)",1,1,1,0
"(7, 23)",1,1,0,0
"(8, 23)",1,0,0,1
"(9, 23)",1,0,1,1
"(10, 23)",1,0,1,0
"(11, 23)",1,1,0,0
"(12, 23)",1,1,0,0
"(13, 23)",1,1,0,0
"(14, 23)",1,1,0,0
"(15, 23)",0,1,0,1
"(16, 23)",0,0,1,1
"(17, 23)",1,0,1,1
"(18, 23)",0,1,1,1
"(19, 23)",1,0,1,0
"(20, 23)",1,1,0,0
"(21, 23)",1,0,0,1
"(22, 23)",0,0,1,1
"(23, 23)",1,1,1,0
"(24, 23)",1,0,0,1
"(25, 23)",0,0,1,1
"(26, 23)",0,1,1,0
"(27, 23)",1,1,0,1
"(28, 23)",0,0,1,1
"(29, 23)",0,1,1,0
"(30, 23)",1,1,0,0
"(31, 23)",0,1,0,1
"(32, 23)",1,0,1,0
"(33, 23)",1,0,0,1
"(34, 23)",0,1,1,0
"(35, 23)",1,1,0,0
"(1, 24)",0,0,0,1
"(2, 24)",0,1,1,0
"(3, 24)",0,1,0,1
"(4, 24)",1,0,1,0
"(5, 24)",1,0,0,1
"(6, 24)",0,1,1,0
"(7, 24)",1,1,0,0
"(8, 24)",0,1,0,0
"(9, 24)",1,1,0,0
"(10, 24)",1,1,0,0
"(11, 24)",0,1,0,1
"(12, 24)",0,1,1,1
"(13, 24)",1,1,1,1
"(14, 24)",1,1,1,0
"(15, 24)",1,0,0,1
"(16, 24)",0,0,1,1
"(17, 24)",0,1,1,0
"(18, 24)",1,0,0,1
"(19, 24)",0,1,1,0
"(20, 24)",0,1,0,1
"(21, 24)",1,1,1,0
"(22, 24)",1,0,0,1
"(23, 24)",1,1,1,1
"(24, 24)",0,1,1,0
"(25, 24)",1,0,0,1
"(26, 24)",0,0,1,1
"(27, 24)",1,1,1,1
"(28, 24)",0,0,1,1
"(29, 24)",0,0,1,1
"(30, 24)",0,1,1,0
"(31, 24)",1,0,0,0
"(32, 24)",1,1,0,0
"(33, 24)",0,1,0,1
"(34, 24)",1,0,1,0
"(35, 24)",0,1,0,0
"(1, 25)",1,0,0,1
"(2, 25)",0,0,1,1
"(3, 25)",1,0,1,0
"(4, 25)",1,1,0,0
"(5, 25)",0,1,0,1
"(6, 25)",1,0,1,0
"(7, 25)",0,1,0,1
"(8, 25)",1,0,1,0
"(9, 25)",1,1,0,1
"(10, 25)",1,1,1,1
"(11, 25)",0,0,1,0
"(12, 25)",1,0,0,1
"(13, 25)",0,1,1,0
"(14, 25)",1,1,0,1
"(15, 25)",1,1,1,0
"(16, 25)",0,0,0,1
"(17, 25)",1,0,1,0
"(18, 25)",0,1,0,1
"(19, 25)",1,0,1,0
"(20, 25)",1,0,0,1
"(21, 25)",0,1,1,1
"(22, 25)",1,1,1,0
"(23, 25)",1,1,0,0
"(24, 25)",1,0,0,1
"(25, 25)",0,1,1,0
"(26, 25)",1,0,0,0
"(27, 25)",1,1,0,1
"(28, 25)",0,0,1,1
"(29, 25)",1,0,1,1
"(30, 25)",0,0,1,1
"(31, 25)",1,1,1,0
"(32, 25)",1,1,0,1
"(33, 25)",1,0,1,0
